id,name,credits,college,prereqs,subject,department
ANTH 250RM,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250RP,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250SA,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250SG,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250SM,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250SS,Methods and Theory in Antropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250TS,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250VP,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 250XX,Method and Theory in Anthropology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 252,Political Ecology,4,College of Letters and Science,,ANTH,Anthropology
ANTH 253,Human Biology Laboratory Methods,4,College of Letters and Science,,ANTH,Anthropology
ANTH 256,Modeling Social Behavior,4,College of Letters and Science,,ANTH,Anthropology
ANTH 257,Human Behavioral Ecology Theory and Method,4,College of Letters and Science,,ANTH,Anthropology
ANTH 260,Applied Data Analysis in R,4,College of Letters and Science,,ANTH,Anthropology
ANTH 266,Theories of Mestizaje: Critical Perspectives from the Americas,4,College of Letters and Science,,ANTH,Anthropology
ANTH 273,Archaeology of Identity,4,College of Letters and Science,,ANTH,Anthropology
ANTH 275,Problems in Archaeological Ceramic Analysis,4,College of Letters and Science,,ANTH,Anthropology
ANTH 276,Culture Contact and Interaction,4,College of Letters and Science,,ANTH,Anthropology
ANTH 277,Faculty Graduate Proseminar,2,College of Letters and Science,,ANTH,Anthropology
ANTH 295,M.A. Paper Preparation,4,College of Letters and Science,,ANTH,Anthropology
ANTH 2H,Introductory Cultural Anthropology Honors,1,College of Letters and Science,ANTH 2,ANTH,Anthropology
ANTH 3,Introductory Archaeology,5,College of Letters and Science,,ANTH,Anthropology
ANTH 3SS,Introduction to Archaeology,5,College of Letters and Science,,ANTH,Anthropology
ANTH 5,Introductory Biological Anthropology,5,College of Letters and Science,,ANTH,Anthropology
ANTH 501,Teaching Assistant Practicum,4,College of Letters and Science,,ANTH,Anthropology
ANTH 594,Field Research Training,60,College of Letters and Science,,ANTH,Anthropology
ANTH 596,Directed Reading and Research,99,College of Letters and Science,,ANTH,Anthropology
ANTH 597,Individual Study for Master's Comprehensive Examinations,99,College of Letters and Science,,ANTH,Anthropology
ANTH 598,Master's Thesis and Pre-Candidacy Preparation,99,College of Letters and Science,,ANTH,Anthropology
ANTH 599,Dissertation Research and Preparation,99,College of Letters and Science,,ANTH,Anthropology
ANTH 5H,Introductory Biological Anthropology Honors,1,College of Letters and Science,ANTH 5,ANTH,Anthropology
ANTH 7,Introductory Biosocial Anthropology,5,College of Letters and Science,,ANTH,Anthropology
ANTH 9,Methods in the Human Behavioral Sciences,5,College of Letters and Science,"| ANTH 5, ANTH 7",ANTH,Anthropology
ANTH 99,Independent Studies,8,College of Letters and Science,,ANTH,Anthropology
ART 10,Introduction to Painting,4,College of Letters and Science,,ART,Art
ART 100,Intermediate Contemporary Painting Issues,4,College of Letters and Science,"ART 10 | ART 1A, ART 7B",ART,Art
ART 101,Advanced Contemporary Painting Issues,4,College of Letters and Science,"ART 10, ART 100",ART,Art
ART 102,Digital Media Tool Box: Concepts and Skills,4,College of Letters and Science,"ART 22, ART 7D",ART,Art
ART 102MM,Digital Project: Mobile Media,4,College of Letters and Science,"ART 22, ART 7D",ART,Art
ART 102MU,Digital Project - Mashups,4,College of Letters and Science,"ART 22, ART 7D",ART,Art
ART 102XX,Digital Media Tool Box: Concepts and Skills,4,College of Letters and Science,"ART 22, ART 7D",ART,Art
ART 105,Intermediate Spatial Practices,4,College of Letters and Science,ART 12,ART,Art
ART 105KY,Intermediate Spatial Practices,4,College of Letters and Science,ART 12,ART,Art
ART 105PP,Intermediate Spatial Practices - Public Practice,4,College of Letters and Science,ART 12,ART,Art
ART 105SP,Intermediate Spatial Practices,4,College of Letters and Science,ART 12,ART,Art
ART 105TD,Intermediate Spatial Practices: Physical & Virtual,4,College of Letters and Science,ART 12,ART,Art
ART 106,Advanced Spatial Practices,4,College of Letters and Science,ART 12,ART,Art
ART 106FA,Advanced Spatial Studies: Friday Academy,4,College of Letters and Science,ART 12,ART,Art
ART 106IV,Advanced Spatial Practices: Isla Vista,4,College of Letters and Science,ART 12,ART,Art
ART 106PP,Advanced Spatial Practices: Public Practice,4,College of Letters and Science,ART 12,ART,Art
ART 106W,Introduction to 2D/3D Visualizations in Architecture,4,College of Letters and Science,,ART,Art
ART 110,Intermediate Print,4,College of Letters and Science,"ART 14, ART 18",ART,Art
ART 111PP,Public Practice Arts: Digital Intermedia,4,College of Letters and Science,ART 7B,ART,Art
ART 112,Artists' Books,4,College of Letters and Science,ART 14,ART,Art
ART 113,Experimental Video & Animation,4,College of Letters and Science,,ART,Art
ART 117,Intermediate Drawing,4,College of Letters and Science,ART 18,ART,Art
ART 118,Advanced Drawing,4,College of Letters and Science,"ART 18, ART 117",ART,Art
ART 12,Beginning Spatial Practices,4,College of Letters and Science,,ART,Art
ART 120,Intermediate Photography,4,College of Letters and Science,ART 19,ART,Art
ART 120EF,Intermediate Photography,4,College of Letters and Science,ART 19,ART,Art
ART 120EL,Intermediate Photography,4,College of Letters and Science,ART 19,ART,Art
ART 120NP,Intermediate Photography,4,College of Letters and Science,ART 19,ART,Art
ART 120PP,Intermediate Photography - Photographing People,4,College of Letters and Science,ART 19,ART,Art
ART 120PV,Intermediate Photography,4,College of Letters and Science,ART 19,ART,Art
ART 120SE,Intermediate Photography,4,College of Letters and Science,ART 19,ART,Art
ART 120WP,Intermediate Photography: Photo as Witness,4,College of Letters and Science,ART 19,ART,Art
ART 121,Advanced Photography,4,College of Letters and Science,ART 120,ART,Art
